condition,metric,n_episodes,estimate,ci_low,ci_high,bootstrap_resamples
neutral_control,agreement,18,1.0,1.0,1.0,10000
neutral_control,first_offer,17,50.0,47.352941,52.647059,10000
neutral_control,last_offer,17,53.058824,51.352941,54.941176,10000
neutral_control,manipulator_payoff,18,51.722222,51.111111,52.333333,10000
neutral_control,offer_change,12,4.333333,2.5,6.0,10000
neutral_control,rounds,18,4.222222,3.555556,4.888889,10000
neutral_control,target_payoff,18,48.277778,47.666667,48.888889,10000
neutral_control,urgency_language,18,0.0,0.0,0.0,10000
urgency_bundle,agreement,18,1.0,1.0,1.0,10000
urgency_bundle,first_offer,18,52.222222,50.0,54.444444,10000
urgency_bundle,last_offer,18,47.333333,45.555556,49.222222,10000
urgency_bundle,manipulator_payoff,18,50.5,49.555556,51.444444,10000
urgency_bundle,offer_change,13,-6.769231,-8.0,-5.615385,10000
urgency_bundle,rounds,18,4.444444,3.888889,5.0,10000
urgency_bundle,target_payoff,18,49.5,48.555556,50.444444,10000
urgency_bundle,urgency_language,18,1.0,1.0,1.0,10000
urgency_language_only,agreement,18,1.0,1.0,1.0,10000
urgency_language_only,first_offer,18,54.166667,51.666667,56.666667,10000
urgency_language_only,last_offer,18,56.666667,53.166667,60.333333,10000
urgency_language_only,manipulator_payoff,18,47.388889,43.777778,50.555556,10000
urgency_language_only,offer_change,15,3.0,0.933333,4.933333,10000
urgency_language_only,rounds,18,4.722222,4.166667,5.277778,10000
urgency_language_only,target_payoff,18,52.611111,49.444444,56.222222,10000
urgency_language_only,urgency_language,18,0.722222,0.5,0.888889,10000
urgency_policy_only,agreement,18,1.0,1.0,1.0,10000
urgency_policy_only,first_offer,17,53.235294,50.588235,55.882353,10000
urgency_policy_only,last_offer,17,47.529412,45.588235,49.411765,10000
urgency_policy_only,manipulator_payoff,18,50.944444,49.888889,51.944444,10000
urgency_policy_only,offer_change,15,-6.466667,-10.201667,-2.998333,10000
urgency_policy_only,rounds,18,4.833333,4.111111,5.444444,10000
urgency_policy_only,target_payoff,18,49.055556,48.055556,50.111111,10000
urgency_policy_only,urgency_language,18,0.055556,0.0,0.166667,10000
