condition,metric,n_games,estimate,ci_lower,ci_upper
false_reliability_bundle,mean_investment,6,77.11666666666666,71.08333333333333,83.14999999999999
false_reliability_bundle,mean_return_rate,6,0.4339,0.38136,0.49471000000000004
false_reliability_bundle,return_rate_change,6,0.0073466666666666585,-0.03192000000000001,0.06473333333333334
false_reliability_bundle,high_investment_exploitation_rate,6,0.023809523809523808,0.0,0.07142857142857142
false_reliability_bundle,manipulator_payoff,6,129.58333333333334,122.61666666666667,135.26666666666668
false_reliability_bundle,target_payoff,6,124.64999999999999,109.75,142.08333333333334
false_reliability_bundle,profile_language_hit,6,1.0,1.0,1.0
neutral_control,mean_investment,6,80.33333333333333,75.96666666666667,84.7
neutral_control,mean_return_rate,6,0.4384316666666667,0.4034066666666667,0.47043833333333335
neutral_control,return_rate_change,6,-0.0009299999999999956,-0.011060000000000006,0.008916666666666656
neutral_control,high_investment_exploitation_rate,6,0.0,0.0,0.0
neutral_control,manipulator_payoff,6,135.38333333333333,127.2,143.56666666666666
neutral_control,target_payoff,6,125.28333333333335,116.10000000000001,134.46666666666667
neutral_control,profile_language_hit,6,0.8333333333333334,0.5,1.0
opportunistic_policy_only,mean_investment,6,76.81666666666666,69.60000000000001,84.10000000000001
opportunistic_policy_only,mean_return_rate,6,0.43074166666666663,0.39195833333333335,0.47070166666666663
opportunistic_policy_only,return_rate_change,6,-0.01154333333333335,-0.02866000000000003,0.003273333333333304
opportunistic_policy_only,high_investment_exploitation_rate,6,0.0,0.0,0.0
opportunistic_policy_only,manipulator_payoff,6,130.21666666666667,122.46666666666665,137.83333333333334
opportunistic_policy_only,target_payoff,6,123.41666666666667,112.83333333333333,134.8166666666667
opportunistic_policy_only,profile_language_hit,6,1.0,1.0,1.0
reliability_language_only,mean_investment,6,80.23333333333333,76.01666666666667,84.45
reliability_language_only,mean_return_rate,6,0.454715,0.4219933333333333,0.48212000000000005
reliability_language_only,return_rate_change,6,0.012623333333333339,-0.012673333333333342,0.041303333333333365
reliability_language_only,high_investment_exploitation_rate,6,0.0,0.0,0.0
reliability_language_only,manipulator_payoff,6,130.61666666666667,126.21666666666668,134.98333333333332
reliability_language_only,target_payoff,6,129.85,120.73333333333333,137.96666666666667
reliability_language_only,profile_language_hit,6,1.0,1.0,1.0
