condition,metric,n_episodes,estimate,ci_low,ci_high,bootstrap_resamples
neutral_control,agreement,2,1.0,1.0,1.0,10000
neutral_control,first_offer,2,52.5,45.0,60.0,10000
neutral_control,last_offer,2,56.0,52.0,60.0,10000
neutral_control,manipulator_payoff,2,53.0,53.0,53.0,10000
neutral_control,offer_change,1,7.0,7.0,7.0,10000
neutral_control,rounds,2,3.5,3.0,4.0,10000
neutral_control,target_payoff,2,47.0,47.0,47.0,10000
neutral_control,urgency_language,2,0.0,0.0,0.0,10000
urgency_bundle,agreement,2,1.0,1.0,1.0,10000
urgency_bundle,first_offer,2,47.5,45.0,50.0,10000
urgency_bundle,last_offer,2,45.0,45.0,45.0,10000
urgency_bundle,manipulator_payoff,2,49.0,48.0,50.0,10000
urgency_bundle,offer_change,1,-5.0,-5.0,-5.0,10000
urgency_bundle,rounds,2,3.5,3.0,4.0,10000
urgency_bundle,target_payoff,2,51.0,50.0,52.0,10000
urgency_bundle,urgency_language,2,1.0,1.0,1.0,10000
urgency_language_only,agreement,2,1.0,1.0,1.0,10000
urgency_language_only,first_offer,2,60.0,60.0,60.0,10000
urgency_language_only,last_offer,2,65.0,65.0,65.0,10000
urgency_language_only,manipulator_payoff,2,52.5,52.0,53.0,10000
urgency_language_only,offer_change,2,5.0,5.0,5.0,10000
urgency_language_only,rounds,2,4.5,4.0,5.0,10000
urgency_language_only,target_payoff,2,47.5,47.0,48.0,10000
urgency_language_only,urgency_language,2,1.0,1.0,1.0,10000
urgency_policy_only,agreement,2,1.0,1.0,1.0,10000
urgency_policy_only,first_offer,2,60.0,60.0,60.0,10000
urgency_policy_only,last_offer,2,48.0,48.0,48.0,10000
urgency_policy_only,manipulator_payoff,2,52.5,52.0,53.0,10000
urgency_policy_only,offer_change,2,-12.0,-12.0,-12.0,10000
urgency_policy_only,rounds,2,6.0,6.0,6.0,10000
urgency_policy_only,target_payoff,2,47.5,47.0,48.0,10000
urgency_policy_only,urgency_language,2,0.0,0.0,0.0,10000
