experiment,group,metric,n_episodes,estimate,ci_low,ci_high
negotiation,fake_anger,agreement_rate,60,0.883333,0.800000,0.966667
negotiation,fake_anger,manipulator_payoff,60,44.083333,39.349583,48.233750
negotiation,fake_anger,offer_change,60,-3.616667,-5.183333,-2.183333
negotiation,fake_confidence,agreement_rate,60,1.000000,1.000000,1.000000
negotiation,fake_confidence,manipulator_payoff,60,50.500000,49.950000,51.033333
negotiation,fake_confidence,offer_change,60,0.416667,0.083333,0.750000
negotiation,fake_disappointment,agreement_rate,60,1.000000,1.000000,1.000000
negotiation,fake_disappointment,manipulator_payoff,60,48.083333,47.250000,48.883333
negotiation,fake_disappointment,offer_change,60,3.616667,2.416250,4.883333
negotiation,fake_urgency,agreement_rate,60,0.983333,0.950000,1.000000
negotiation,fake_urgency,manipulator_payoff,60,49.900000,47.766667,51.283333
negotiation,fake_urgency,offer_change,60,-7.733333,-9.116667,-6.450000
negotiation,neutral_control,agreement_rate,60,1.000000,1.000000,1.000000
negotiation,neutral_control,manipulator_payoff,60,49.966667,49.283333,50.600000
negotiation,neutral_control,offer_change,60,3.620690,2.694915,4.543900
trust,fake_anger,mean_investment,48,59.637500,53.216198,65.814635
trust,fake_anger,manipulator_round_payoff,48,87.470833,79.613073,95.362552
trust,fake_anger,high_investment_exploitation_rate,48,0.068750,0.037143,0.112454
trust,fake_anger,detection_rate,48,0.250000,0.154167,0.350000
trust,fake_disappointment,mean_investment,48,80.012500,77.349479,82.193802
trust,fake_disappointment,manipulator_round_payoff,48,121.958333,116.610312,126.485469
trust,fake_disappointment,high_investment_exploitation_rate,48,0.006397,0.000000,0.014614
trust,fake_disappointment,detection_rate,48,0.016667,0.000000,0.037500
trust,fake_guilt,mean_investment,48,70.416667,66.678958,74.135469
trust,fake_guilt,manipulator_round_payoff,48,113.135417,107.246719,118.860521
trust,fake_guilt,high_investment_exploitation_rate,48,0.206818,0.150216,0.268079
trust,fake_guilt,detection_rate,48,0.158333,0.091667,0.233333
trust,false_reliability,mean_investment,48,62.550000,59.589479,65.850156
trust,false_reliability,manipulator_round_payoff,48,110.162500,106.320469,113.983333
trust,false_reliability,high_investment_exploitation_rate,48,0.281991,0.236777,0.328503
trust,false_reliability,detection_rate,48,0.058333,0.016667,0.104271
trust,neutral_control,mean_investment,48,74.818750,71.745781,77.614844
trust,neutral_control,manipulator_round_payoff,48,129.972917,126.001563,133.797917
trust,neutral_control,high_investment_exploitation_rate,48,0.025696,0.008475,0.046566
trust,neutral_control,detection_rate,48,0.000000,0.000000,0.000000
trust,reality_reframing,mean_investment,48,62.485417,56.597656,68.335573
trust,reality_reframing,manipulator_round_payoff,48,105.983333,98.115729,113.198073
trust,reality_reframing,high_investment_exploitation_rate,48,0.082873,0.042821,0.139077
trust,reality_reframing,detection_rate,48,0.004167,0.000000,0.012500
trust,stable_reassurance,mean_investment,48,81.814583,80.674896,82.864635
trust,stable_reassurance,manipulator_round_payoff,48,134.700000,132.549896,136.900573
trust,stable_reassurance,high_investment_exploitation_rate,48,0.000000,0.000000,0.000000
trust,stable_reassurance,detection_rate,48,0.004167,0.000000,0.012500
coalition,coalition_scarcity,coalition_with_manipulator_rate,45,0.511111,0.355556,0.644444
coalition,coalition_scarcity,player_1_payoff,45,60.111111,58.777778,61.666667
coalition,coalition_scarcity,detection_rate,45,0.233333,0.150000,0.316667
coalition,competence_signaling,coalition_with_manipulator_rate,45,0.666667,0.533333,0.800000
coalition,competence_signaling,player_1_payoff,45,61.666667,60.333333,63.000000
coalition,competence_signaling,detection_rate,45,0.016667,0.000000,0.038889
coalition,double_commitment,coalition_with_manipulator_rate,45,0.800000,0.688889,0.911111
coalition,double_commitment,player_1_payoff,45,63.000000,61.888889,64.111111
coalition,double_commitment,detection_rate,45,0.005556,0.000000,0.016667
coalition,exclusive_reassurance,coalition_with_manipulator_rate,45,0.488889,0.355556,0.644444
coalition,exclusive_reassurance,player_1_payoff,45,59.888889,58.333333,61.222222
coalition,exclusive_reassurance,detection_rate,45,0.016667,0.000000,0.044444
coalition,fake_anger,coalition_with_manipulator_rate,45,0.444444,0.311111,0.600000
coalition,fake_anger,player_1_payoff,45,59.444444,58.111111,60.777778
coalition,fake_anger,detection_rate,45,0.561111,0.444444,0.683333
coalition,fake_disappointment,coalition_with_manipulator_rate,45,0.666667,0.533333,0.800000
coalition,fake_disappointment,player_1_payoff,45,61.666667,60.333333,63.000000
coalition,fake_disappointment,detection_rate,45,0.227778,0.150000,0.311111
coalition,neutral_control,coalition_with_manipulator_rate,45,0.555556,0.400000,0.688889
coalition,neutral_control,player_1_payoff,45,60.555556,59.222222,61.888889
coalition,neutral_control,detection_rate,45,0.000000,0.000000,0.000000
coalition,reputation_reframing,coalition_with_manipulator_rate,45,0.444444,0.311111,0.600000
coalition,reputation_reframing,player_1_payoff,45,59.444444,58.111111,61.000000
coalition,reputation_reframing,detection_rate,45,0.238889,0.150000,0.333333
