experiment,strategy,round,n_moves,mean_offer,acceptance_rate,belief_estimate_mean,belief_detect_rate
negotiation,fake_anger,1,30,51.0,0.0,53.1667,0.4
negotiation,fake_anger,2,30,47.1667,0.0,49.1333,0.8667
negotiation,fake_anger,3,30,43.7,0.0,46.9,0.7
negotiation,fake_anger,4,30,43.5333,0.0,47.8,0.7667
negotiation,fake_anger,5,30,42.7333,0.0,44.5333,0.7667
negotiation,fake_anger,6,23,42.7391,0.0,44.4348,0.913
negotiation,fake_anger,7,27,43.8519,0.0,44.8889,0.8148
negotiation,fake_anger,8,20,41.8,0.0,44.3,0.85
negotiation,fake_anger,9,21,45.2857,0.0,46.0,0.7619
negotiation,fake_anger,10,20,43.35,0.65,45.35,0.75
negotiation,fake_confidence,1,30,50.0,0.0,51.3333,0.0333
negotiation,fake_confidence,2,30,53.0,0.0,52.8667,0.2333
negotiation,fake_confidence,3,30,50.4667,0.0,50.1667,0.2333
negotiation,fake_confidence,4,30,53.0667,0.0,53.5667,0.3
negotiation,fake_confidence,5,30,50.4667,0.0,50.2,0.4
negotiation,fake_confidence,6,11,49.6364,0.0,50.3636,0.1818
negotiation,fake_confidence,7,14,50.3571,0.0,50.1429,0.2857
negotiation,fake_confidence,8,10,49.5,0.1,49.8,0.0
negotiation,fake_confidence,9,10,50.0,0.1,50.0,0.0
negotiation,fake_confidence,10,9,50.2222,1.0,50.1111,0.2222
negotiation,fake_disappointment,1,30,45.8333,0.0,47.1667,0.2333
negotiation,fake_disappointment,2,30,52.7333,0.0,51.6333,0.4
negotiation,fake_disappointment,3,30,51.6667,0.0,51.9,0.6333
negotiation,fake_disappointment,4,30,53.1333,0.0,53.6,0.6333
negotiation,fake_disappointment,5,30,52.0667,0.0,51.7,0.6
negotiation,fake_disappointment,6,19,54.7895,0.1579,54.2105,0.6316
negotiation,fake_disappointment,7,20,53.3,0.15,52.55,0.65
negotiation,fake_disappointment,8,16,52.5625,0.1875,53.375,0.5625
negotiation,fake_disappointment,9,17,51.2941,0.1176,51.7059,0.5882
negotiation,fake_disappointment,10,13,53.7692,1.0,53.7692,0.6154
negotiation,fake_urgency,1,30,50.9,0.0,53.0667,0.7
negotiation,fake_urgency,2,30,58.3333,0.0,56.0667,0.7667
negotiation,fake_urgency,3,30,46.4,0.0,46.7,0.6667
negotiation,fake_urgency,4,30,47.7333,0.0,50.9667,0.7333
negotiation,fake_urgency,5,30,44.2,0.0,45.6,0.8333
negotiation,fake_urgency,6,18,44.2778,0.0,48.4444,0.8889
negotiation,fake_urgency,7,17,46.2941,0.0,45.5882,0.8824
negotiation,fake_urgency,8,15,47.2,0.0667,47.6,0.8667
negotiation,fake_urgency,9,13,49.3846,0.2308,47.8462,1.0
negotiation,fake_urgency,10,13,48.0,0.9231,49.4615,0.9231
negotiation,neutral_control,1,30,46.6667,0.0,48.5,0.0
negotiation,neutral_control,2,29,52.5517,0.0,52.0,0.069
negotiation,neutral_control,3,30,51.7333,0.0,52.2333,0.1
negotiation,neutral_control,4,28,54.1786,0.0357,53.4286,0.2143
negotiation,neutral_control,5,30,51.7,0.0,51.6,0.2
negotiation,neutral_control,6,13,52.6923,0.0,52.6923,0.2308
negotiation,neutral_control,7,11,50.9091,0.1818,51.3636,0.0
negotiation,neutral_control,8,11,51.1818,0.3636,51.1818,0.0909
negotiation,neutral_control,9,8,49.375,0.125,50.625,0.375
negotiation,neutral_control,10,6,50.3333,1.0,51.5,0.0
