experiment,strategy,round,n_moves,mean_investment,mean_return,mean_return_rate,belief_trustworthiness_mean,belief_detect_rate
trust,fake_anger,1,48,50.0,46.7708,0.3118,0.0,0.0
trust,fake_anger,2,48,48.2292,61.7083,0.4083,66.9792,0.0417
trust,fake_anger,3,48,51.6042,71.6667,0.4301,0.0,0.0
trust,fake_anger,4,48,54.3542,82.4792,0.4595,61.1458,0.25
trust,fake_anger,5,48,59.0625,91.8125,0.4609,0.0,0.0
trust,fake_anger,6,48,60.8125,97.8542,0.4785,57.8125,0.2917
trust,fake_anger,7,48,65.4583,107.8542,0.4823,0.0,0.0
trust,fake_anger,8,48,66.1875,112.9792,0.5049,55.6383,0.3125
trust,fake_anger,9,48,69.8958,117.375,0.4924,0.0,0.0
trust,fake_anger,10,48,70.7708,123.9167,0.5094,56.6667,0.3542
trust,fake_disappointment,1,48,49.375,67.3333,0.454,0.0,0.0
trust,fake_disappointment,2,48,61.875,85.4583,0.4595,74.5745,0.0208
trust,fake_disappointment,3,48,70.6458,95.8542,0.4485,0.0,0.0
trust,fake_disappointment,4,48,78.0208,111.3542,0.4715,72.6042,0.0
trust,fake_disappointment,5,48,84.4167,125.375,0.4906,0.0,0.0
trust,fake_disappointment,6,48,88.1042,131.6042,0.4927,69.4792,0.0
trust,fake_disappointment,7,48,90.4167,137.5208,0.5015,0.0,0.0
trust,fake_disappointment,8,48,91.5833,140.125,0.504,67.8125,0.0208
trust,fake_disappointment,9,48,92.9375,142.0625,0.5042,0.0,0.0
trust,fake_disappointment,10,48,92.75,144.1042,0.5121,66.25,0.0417
trust,fake_guilt,1,48,50.0,66.875,0.4458,0.0,0.0
trust,fake_guilt,2,48,62.8125,86.1667,0.4566,78.2979,0.0
trust,fake_guilt,3,48,71.75,96.4583,0.443,0.0,0.0
trust,fake_guilt,4,48,77.7083,91.0833,0.3938,67.8125,0.0833
trust,fake_guilt,5,48,68.2708,106.6875,0.5383,0.0,0.0
trust,fake_guilt,6,48,75.6458,101.7083,0.44,63.4375,0.2292
trust,fake_guilt,7,48,71.3958,110.4167,0.5155,0.0,0.0
trust,fake_guilt,8,48,77.5,102.7292,0.4315,61.7708,0.1667
trust,fake_guilt,9,48,71.125,111.7708,0.5288,0.0,0.0
trust,fake_guilt,10,48,77.9583,107.25,0.4573,57.75,0.3125
trust,false_reliability,1,48,50.0,64.25,0.4283,0.0,0.0
trust,false_reliability,2,48,59.9792,77.875,0.4307,78.617,0.0
trust,false_reliability,3,48,62.8333,77.8333,0.4119,0.0,0.0
trust,false_reliability,4,48,64.8542,77.3125,0.3941,72.2917,0.0417
trust,false_reliability,5,48,65.25,84.5625,0.438,0.0,0.0
trust,false_reliability,6,48,68.0833,89.8125,0.4279,67.1875,0.0625
trust,false_reliability,7,48,67.8125,79.9583,0.3904,0.0,0.0
trust,false_reliability,8,48,64.8125,81.1875,0.422,64.3542,0.0625
trust,false_reliability,9,48,64.6875,74.875,0.3826,0.0,0.0
trust,false_reliability,10,48,57.1875,67.2083,0.4031,60.3125,0.125
trust,neutral_control,1,48,48.5417,62.9792,0.4317,0.0,0.0
trust,neutral_control,2,48,60.7292,74.1667,0.4068,76.9149,0.0
trust,neutral_control,3,48,67.0,82.8958,0.4105,0.0,0.0
trust,neutral_control,4,48,73.6042,89.0625,0.4008,79.1111,0.0
trust,neutral_control,5,48,77.9167,97.5,0.4122,0.0,0.0
trust,neutral_control,6,48,81.6875,101.6042,0.4083,78.9583,0.0
trust,neutral_control,7,48,82.6042,106.3542,0.4237,0.0,0.0
trust,neutral_control,8,48,85.0208,109.1875,0.4208,78.8542,0.0
trust,neutral_control,9,48,85.5,110.3125,0.4244,0.0,0.0
trust,neutral_control,10,48,85.5833,110.7708,0.4251,76.7708,0.0
trust,reality_reframing,1,48,50.0,60.3542,0.4024,0.0,0.0
trust,reality_reframing,2,48,53.6875,68.25,0.4134,76.0417,0.0
trust,reality_reframing,3,48,57.9375,73.0208,0.4093,0.0,0.0
trust,reality_reframing,4,48,60.7708,78.75,0.413,75.2128,0.0
trust,reality_reframing,5,48,63.5833,78.1042,0.3922,0.0,0.0
trust,reality_reframing,6,48,64.6875,81.6667,0.4039,74.7872,0.0
trust,reality_reframing,7,48,66.9167,87.5833,0.4135,0.0,0.0
trust,reality_reframing,8,48,68.875,93.5625,0.4241,74.2708,0.0
trust,reality_reframing,9,48,68.6667,97.0208,0.4411,0.0,0.0
trust,reality_reframing,10,48,69.7292,96.4167,0.4344,74.1667,0.0208
trust,stable_reassurance,1,48,49.7917,65.1875,0.4363,0.0,0.0
trust,stable_reassurance,2,48,62.6042,82.6875,0.4402,80.1042,0.0
trust,stable_reassurance,3,48,71.3542,92.3333,0.4309,0.0,0.0
trust,stable_reassurance,4,48,78.8333,103.7292,0.4373,83.2292,0.0
trust,stable_reassurance,5,48,85.6667,114.8333,0.4457,0.0,0.0
trust,stable_reassurance,6,48,89.9583,119.5833,0.4416,83.2292,0.0
trust,stable_reassurance,7,48,93.125,128.7917,0.4603,0.0,0.0
trust,stable_reassurance,8,48,94.7292,131.4583,0.4622,84.375,0.0
trust,stable_reassurance,9,48,95.8125,134.0208,0.466,0.0,0.0
trust,stable_reassurance,10,48,96.2708,134.8125,0.4666,84.4792,0.0208
